-89.96690541    -439.8602827
-79.35844529    -439.8600859
-71.31482306    -439.8593916
-64.31713504    -439.857818
-57.24767417    -439.8552908
-49.90717457    -439.8518995
-41.79478107    -439.8478778
-32.45538912    -439.8437357
-20.44900329    -439.8402092
20.75946492 -439.8399761
34.78442825 -439.844081
45.02412394 -439.8488536
52.70470939 -439.8529852
59.38698184 -439.8561399
65.82264474 -439.8583482
72.51209491 -439.8596265
80.23052378 -439.860118
89.92502293 -439.8602857
90.03309459 -439.8602827
